dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,83.08,78.10,78.99,74.98,1.14,6.33,18.48,47.18,77.10
tin,77.69,81.33,85.22,73.58,0.23,4.28,19.89,53.06,77.10
nearood,80.38,79.72,82.10,74.28,0.69,5.31,19.18,50.12,77.10
mnist,75.24,83.66,61.77,96.60,12.78,23.06,36.97,57.04,77.10
svhn,89.73,70.96,52.06,84.48,2.98,5.96,12.19,34.12,77.10
texture,78.33,79.31,86.59,66.89,0.91,4.80,17.90,47.27,77.10
places365,81.20,79.76,60.59,91.63,2.09,5.62,18.80,50.17,77.10
farood,81.12,78.42,65.25,84.90,4.69,9.86,21.46,47.15,77.10
