dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
species,82.35,72.03,91.53,34.96,0.28,1.78,7.27,31.24,76.18
inaturalist,53.87,90.60,97.75,64.00,2.72,11.37,39.28,65.15,76.18
openimageo,57.10,89.15,95.94,72.01,3.72,11.38,34.38,62.10,76.18
imageneto,100.00,41.90,95.69,3.29,0.74,0.95,4.50,14.50,76.18
nearood,73.33,73.42,95.23,43.57,1.87,6.37,21.36,43.25,76.18
texture,49.30,88.73,98.28,55.62,0.14,1.15,16.52,58.94,76.18
mnist,18.46,96.78,99.37,80.68,44.08,57.92,65.61,73.26,76.18
farood,33.88,92.76,98.83,68.15,22.11,29.53,41.06,66.10,76.18
