,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
ssb_hard,75.64,78.22,77.14,77.85,0.51,3.09,11.71,41.36,77.63
ninco,60.64,86.11,97.80,47.44,2.84,8.97,24.83,55.96,77.63
nearood,68.14,82.16,87.47,62.65,1.68,6.03,18.27,48.66,77.63
inaturalist,11.75,97.71,99.45,91.46,8.97,30.06,61.68,74.55,77.63
textures,16.72,96.54,99.54,83.55,9.00,22.70,48.34,73.20,77.63
openimage_o,29.72,93.91,97.61,86.25,7.88,17.96,38.86,68.67,77.63
farood,19.40,96.05,98.87,87.09,8.62,23.57,49.63,72.14,77.63
