dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,81.49,79.07,79.98,76.03,1.36,7.64,20.04,48.89,77.10
tin,76.07,82.46,86.47,74.64,0.11,6.63,24.09,55.16,77.10
nearood,78.78,80.77,83.22,75.34,0.73,7.14,22.07,52.02,77.10
mnist,87.37,78.23,53.17,94.92,7.81,16.61,29.46,51.10,77.10
svhn,82.75,77.81,61.91,88.34,2.83,7.23,16.80,46.11,77.10
texture,82.43,77.84,85.78,63.01,0.34,2.17,16.64,47.67,77.10
places365,80.66,80.16,62.54,91.65,3.23,6.87,21.69,52.24,77.10
farood,83.30,78.51,65.85,84.48,3.56,8.22,21.15,49.28,77.10
