dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar100,42.88,88.21,87.08,88.78,0.58,4.01,20.22,60.93,95.24
tin,38.75,89.25,88.34,89.62,1.19,5.24,20.84,63.39,95.24
nearood,40.81,88.73,87.71,89.20,0.88,4.63,20.53,62.16,95.24
mnist,19.82,96.13,85.09,99.40,30.02,41.22,61.52,86.21,95.24
svhn,50.35,85.37,64.05,94.19,0.58,1.59,8.88,54.09,95.24
texture,34.72,89.40,91.35,86.75,1.26,2.23,14.66,62.69,95.24
place365,33.71,91.09,73.59,97.40,2.28,8.54,25.51,69.72,95.24
farood,34.65,90.50,78.52,94.44,8.53,13.40,27.64,68.18,95.24
