,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
ssb_hard,83.42,71.74,70.51,71.05,0.20,1.67,8.15,31.89,76.19
ninco,74.91,77.77,96.13,32.74,0.81,2.39,12.45,41.26,76.19
nearood,79.17,74.75,83.32,51.89,0.50,2.03,10.30,36.58,76.19
inaturalist,41.77,91.17,97.72,72.10,1.36,10.40,32.33,63.68,76.19
textures,42.77,89.00,98.21,61.00,0.36,1.66,12.76,58.56,76.19
openimage_o,50.68,88.24,95.23,73.73,1.52,8.42,25.52,57.90,76.19
farood,45.08,89.47,97.05,68.95,1.08,6.82,23.54,60.04,76.19
