dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar100,58.70,77.76,73.32,80.15,0.09,0.60,5.21,31.60,95.24
tin,55.53,79.65,75.61,81.52,0.14,1.00,5.40,34.02,95.24
nearood,57.12,78.71,74.47,80.83,0.12,0.80,5.31,32.81,95.24
mnist,35.73,90.96,64.90,98.61,9.40,15.57,32.21,68.50,95.24
svhn,67.45,73.41,42.22,89.25,0.09,0.20,1.76,25.48,95.24
texture,50.53,80.76,82.30,77.86,0.14,0.28,3.32,33.46,95.24
place365,50.06,82.61,50.38,94.88,0.28,1.67,7.41,41.92,95.24
farood,50.94,81.94,59.95,90.15,2.48,4.43,11.18,42.34,95.24
