,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
ssb_hard,80.75,73.02,70.70,73.13,0.08,1.07,6.54,33.12,76.19
ninco,70.16,81.73,97.06,38.69,3.74,5.04,22.07,49.14,76.19
nearood,75.46,77.38,83.88,55.91,1.91,3.05,14.31,41.13,76.19
inaturalist,19.85,96.34,99.14,86.41,14.30,29.22,55.07,71.42,76.19
textures,38.49,92.79,99.03,66.04,0.99,11.08,39.37,66.47,76.19
openimage_o,41.36,91.87,96.96,80.53,12.52,20.56,41.41,64.23,76.19
farood,33.23,93.67,98.37,77.66,9.27,20.29,45.28,67.37,76.19
