,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
ssb_hard,84.41,72.08,70.98,70.81,0.15,1.68,8.46,32.92,76.19
ninco,77.62,79.70,96.69,30.69,3.61,6.37,18.51,46.36,76.19
nearood,81.01,75.89,83.83,50.75,1.88,4.03,13.48,39.64,76.19
inaturalist,53.74,90.63,97.76,64.07,2.73,11.40,39.55,65.16,76.19
textures,49.50,88.70,98.27,55.45,0.14,1.15,16.65,58.70,76.19
openimage_o,57.65,89.06,95.91,71.69,3.57,11.05,34.18,62.01,76.19
farood,53.63,89.47,97.31,63.73,2.15,7.87,30.12,61.96,76.19
