dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,87.66,71.53,71.44,68.71,0.52,2.06,9.70,37.23,77.10
tin,82.37,78.34,83.89,69.18,1.66,4.72,24.94,49.77,77.10
nearood,85.01,74.93,77.66,68.94,1.09,3.39,17.32,43.50,77.10
mnist,72.36,85.15,64.47,96.79,10.72,21.86,39.38,58.34,77.10
svhn,82.42,81.26,72.93,89.44,15.46,21.12,37.12,54.74,77.10
texture,56.15,87.36,92.12,80.93,6.21,16.53,35.82,58.64,77.10
places365,83.74,75.77,56.26,89.97,1.32,4.43,18.87,45.57,77.10
farood,73.67,82.39,71.45,89.28,8.43,15.99,32.80,54.33,77.10
