dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,73.07,83.64,84.77,81.42,2.93,13.11,28.84,56.29,77.10
tin,66.30,86.23,89.44,80.57,1.00,9.68,30.06,60.52,77.10
nearood,69.68,84.94,87.11,81.00,1.97,11.39,29.45,58.41,77.10
mnist,62.78,88.24,71.57,97.70,21.84,33.70,47.20,63.43,77.10
svhn,82.15,77.59,63.02,88.46,7.33,12.31,21.22,44.74,77.10
texture,68.40,84.54,90.41,74.64,2.26,10.70,28.07,56.41,77.10
places365,70.41,84.98,70.51,94.11,5.62,11.90,29.17,58.42,77.10
farood,70.94,83.84,73.88,88.73,9.26,17.15,31.41,55.75,77.10
