,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
ssb_hard,81.20,71.90,69.96,72.26,0.42,1.56,6.48,26.81,76.19
ninco,73.84,74.02,95.01,32.93,0.72,1.55,5.93,26.98,76.19
nearood,77.52,72.96,82.48,52.59,0.57,1.55,6.21,26.89,76.19
inaturalist,26.75,93.89,98.37,82.54,0.53,9.88,30.79,63.68,76.19
textures,29.71,92.05,98.67,73.49,0.06,0.56,14.72,58.62,76.19
openimage_o,48.11,84.83,92.57,73.62,0.12,1.79,7.95,39.79,76.19
farood,34.86,90.25,96.53,76.55,0.23,4.08,17.82,54.03,76.19
