dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,59.71,91.13,92.79,86.39,1.92,5.52,9.18,13.88,17.88
tin,55.01,91.85,94.61,84.31,2.83,6.50,9.89,14.10,17.88
nearood,57.36,91.49,93.70,85.35,2.38,6.01,9.53,13.99,17.88
mnist,30.61,96.11,92.92,98.87,12.86,13.88,14.88,15.96,17.88
svhn,78.49,84.43,76.01,90.67,1.04,2.83,5.60,10.93,17.88
texture,59.59,89.11,93.76,79.37,1.42,3.43,7.34,12.37,17.88
places365,54.99,92.15,86.91,95.89,3.91,6.43,10.21,14.31,17.88
farood,55.92,90.45,87.40,91.20,4.81,6.64,9.51,13.39,17.88
