dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar100,49.72,92.01,93.67,87.73,9.92,13.94,23.00,33.49,40.77
tin,49.78,92.00,93.76,87.51,6.62,13.87,22.98,33.54,40.77
nearood,49.75,92.00,93.71,87.62,8.27,13.91,22.99,33.52,40.77
mnist,1.63,98.90,97.20,99.67,27.62,34.27,38.08,39.82,40.77
svhn,68.39,88.21,81.24,92.89,3.83,9.31,18.03,30.11,40.77
texture,50.60,91.63,95.28,83.23,3.39,13.89,22.34,32.82,40.77
place365,53.06,91.25,83.20,96.09,5.41,11.67,21.77,32.66,40.77
farood,43.42,92.50,89.23,92.97,10.06,17.28,25.06,33.85,40.77
