dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar100,51.88,89.61,89.85,88.09,0.03,3.99,27.48,73.93,95.24
tin,46.10,91.46,92.43,89.78,4.01,16.67,38.97,78.76,95.24
nearood,48.99,90.53,91.14,88.94,2.02,10.33,33.22,76.34,95.24
mnist,49.31,91.68,77.33,98.43,18.44,34.57,54.67,79.49,95.24
svhn,33.86,95.02,92.24,97.35,24.62,48.57,74.13,86.60,95.24
texture,45.67,92.80,95.96,85.94,13.39,25.56,59.14,81.92,95.24
place365,43.26,91.86,80.21,97.28,2.97,9.87,40.17,79.06,95.24
farood,43.03,92.84,86.44,94.75,14.86,29.64,57.03,81.77,95.24
