,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
ssb_hard,85.62,69.30,65.48,68.60,0.09,0.57,3.55,25.81,81.59
ninco,74.72,81.97,96.87,33.54,0.46,1.13,9.78,51.80,81.59
nearood,80.17,75.64,81.17,51.07,0.27,0.85,6.66,38.81,81.59
inaturalist,57.85,90.03,97.55,60.66,0.26,5.83,35.82,68.98,81.59
textures,55.23,86.99,97.96,47.18,0.24,0.81,14.63,59.44,81.59
openimage_o,60.91,87.66,94.85,68.05,0.16,1.23,18.31,63.69,81.59
farood,58.00,88.23,96.79,58.63,0.22,2.62,22.92,64.04,81.59
