dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar100,51.32,86.19,83.27,86.26,0.12,1.38,8.22,55.87,95.24
tin,44.89,88.61,86.42,88.38,0.19,2.39,9.32,65.67,95.24
nearood,48.11,87.40,84.84,87.32,0.16,1.88,8.77,60.77,95.24
mnist,44.31,90.62,63.45,98.42,5.57,10.34,26.89,74.16,95.24
svhn,44.68,88.42,66.36,94.91,0.07,0.40,5.13,68.02,95.24
texture,48.01,86.88,87.89,81.36,0.12,0.18,4.10,60.10,95.24
place365,41.74,89.62,66.75,96.83,0.57,2.67,13.26,69.98,95.24
farood,44.69,88.89,71.11,92.88,1.58,3.40,12.34,68.06,95.24
