dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,97.86,43.58,43.75,46.99,0.00,0.00,0.12,1.09,17.88
tin,95.00,49.72,53.94,45.57,0.00,0.00,0.11,1.23,17.88
nearood,96.43,46.65,48.84,46.28,0.00,0.00,0.12,1.16,17.88
mnist,10.26,96.64,95.59,98.62,15.51,15.86,16.27,16.58,17.88
svhn,98.70,54.03,36.99,72.82,0.09,0.32,1.04,3.56,17.88
texture,76.68,69.49,76.06,61.77,0.06,0.07,0.59,3.73,17.88
places365,98.08,42.88,18.36,74.35,0.00,0.00,0.10,1.04,17.88
farood,70.93,65.76,56.75,76.89,3.91,4.06,4.50,6.23,17.88
