dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT
cifar100,50.78,90.63,91.67,89.20
tin,39.32,92.25,92.20,91.53
mnist,46.88,92.52,94.15,89.22
svhn,2.07,99.62,99.08,99.86
texture,14.66,97.61,98.75,95.56
place365,25.34,95.21,86.63,98.39
