dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,9.70,97.80,98.20,96.70,4.68,10.93,14.62,16.60,17.88
tin,8.19,98.07,98.74,96.32,8.57,12.53,14.90,16.67,17.88
nearood,8.94,97.93,98.47,96.51,6.62,11.73,14.76,16.63,17.88
mnist,2.63,98.59,96.90,99.68,14.89,15.54,16.26,16.93,17.88
svhn,36.59,94.44,91.17,96.94,4.86,6.73,11.20,14.94,17.88
texture,20.87,96.55,98.08,93.26,1.68,8.30,12.58,15.73,17.88
places365,6.28,98.25,96.86,99.20,10.62,12.83,15.14,16.76,17.88
farood,16.59,96.96,95.75,97.27,8.01,10.85,13.79,16.09,17.88
