dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,CCR_4,CCR_3,CCR_2,CCR_1,ACC
cifar10,81.54,76.43,72.96,74.62,0.32,0.66,5.12,40.66,77.10
tin,73.45,83.30,87.08,76.21,1.47,5.90,22.94,56.67,77.10
nearood,77.49,79.87,80.02,75.42,0.89,3.28,14.03,48.66,77.10
mnist,78.39,83.70,64.15,96.34,19.19,25.52,39.92,59.70,77.10
svhn,73.62,82.21,71.19,91.09,15.87,18.47,31.00,54.13,77.10
texture,65.69,83.73,89.31,74.79,2.54,7.74,20.86,53.84,77.10
places365,78.53,78.97,57.13,91.69,1.37,3.99,15.56,48.94,77.10
farood,74.06,82.15,70.45,88.48,9.74,13.93,26.83,54.16,77.10
